DBN,school_name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Cohort,grads_percent,dropout_percent,boro,lat,long
04M495,PARK EAST HIGH SCHOOL,51,373,379,376,1128,2.5,NA,NA,NA,NA,19,76.8,349,4.3,10.6,3,4.9,33.2,59.6,0.3,42.1,57.9,92,57.6,10.9,Manhattan,40.7905626,-73.94445440799967
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395,1221,2.5,NA,NA,NA,NA,25,70.4,445,4,13.5,5,6.5,26.7,64.5,1.6,32.1,67.9,63,66.7,11.1,Manhattan,40.7936788820004,-73.94941649499964
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1326,41,55,29,1.3414634146341464,52.72727272727272,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,Manhattan,40.7927069560004,-73.94729966199964
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1326,2.5,NA,NA,NA,NA,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,Manhattan,40.7927069560004,-73.94729966199964
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,1095,2.5,NA,NA,NA,NA,26,62.7,192,13.5,18.8,14,4.2,27.6,65.6,2.1,62,38,75,41.3,20,NA,NA,NA
04M680,"HERITAGE SCHOOL, THE",31,358,351,345,1054,2.5,NA,NA,NA,NA,21,71.8,294,6.8,24.8,12,0.3,28.9,69.4,1,48.6,51.4,75,56,9.300000000000002,Manhattan,40.7918796180004,-73.94658639999966
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,1008,2.5,NA,NA,NA,NA,17,67.6,222,9.5,10.8,1,0.5,62.2,36.9,0.5,39.2,60.8,81,12.3,22.2,NA,NA,NA
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,1210,11,11,NA,1,NA,26,78.5,426,8.7,15.5,12,0.9,35,63.8,0.2,53.5,46.5,96,69.8,7.3,Manhattan,40.81736104600048,-73.94770842099967
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,46.3,474,0.6,0.4,0,11.6,20,48.5,18.4,49.6,50.4,NA,NA,NA,Manhattan,40.8109178530004,-73.95692738699967
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342,1062,17,17,NA,1,NA,23,67,425,9.9,21.6,2,0.5,61.4,38.1,0,48.7,51.3,NA,NA,NA,Manhattan,40.81523036500044,-73.95520120599963
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364,1077,2.5,NA,NA,NA,NA,24,77.7,374,6.1,16.6,12,0.5,59.1,38.2,0.8,25.4,74.6,62,69.4,16.1,Manhattan,40.81523036500044,-73.95520120599963
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385,1099,6,6,NA,1,NA,23,81.9,347,2,13.3,25,0.3,76.1,22.5,0.6,39.8,60.2,39,56.4,10.3,NA,NA,NA
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442,1374,163,226,159,1.3865030674846626,70.35398230088495,27,57.6,1556,2.4,8.9,45,1.2,74.4,22.8,1.3,52.2,47.8,259,82.6,3.5,Manhattan,40.8243083850004,-73.93697961299966
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404,1202,37,38,NA,1.027027027027027,NA,23,65.1,580,1.4,10,0,0.2,78.1,20.9,0.2,44.1,55.9,95,68.4,10.5,Manhattan,40.8153648290004,-73.94389670999965
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355,1085,2.5,NA,NA,NA,NA,23,71.8,524,17.6,21,60,0.4,53.2,45.4,0.6,48.9,51.1,121,37.2,18.2,NA,NA,NA
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,114,124,71,1.087719298245614,57.25806451612904,22,18.5,406,0,0,NA,36.2,15,21.2,26.1,65.8,34.2,106,95.3,0,Manhattan,40.82112311200046,-73.94884524399964
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416,1270,2.5,NA,NA,NA,NA,24,71.6,586,6.1,13.1,0,0.7,6,92,1.2,39.6,60.4,NA,NA,NA,Manhattan,40.8611133190004,-73.93045214899968
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367,1105,2.5,NA,NA,NA,NA,27,78.8,520,30,17.3,16,0.2,5.2,93.8,0.8,52.3,47.7,NA,NA,NA,Manhattan,40.8335552190004,-73.94180421199962
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399,1174,2.5,NA,NA,NA,NA,28,87.5,602,19.6,18.1,0,0,2.3,96.7,0.3,55.8,44.2,NA,NA,NA,Manhattan,40.8488787880004,-73.93080651699967
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,17,99.2,178,19.7,34.3,10,0,25.8,72.5,0,52.8,47.2,NA,NA,NA,Manhattan,40.8660455490004,-73.92485664199967
06M457,GEORGE WASHINGTON YABC,7,394,357,346,1097,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378,1127,108,135,43,1.25,31.851851851851855,26,89.3,630,43,13.7,46,0.5,5.2,91.4,1.4,63.8,36.2,185,74.1,9.200000000000001,Manhattan,40.85593830700048,-73.92702963399967
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349,1098,37,64,NA,1.7297297297297298,NA,23,83.8,572,26.9,17,8,1,10.7,87.1,0.5,63.5,36.5,161,62.7,12.4,Manhattan,40.85593830700048,-73.92702963399967
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,1102,141,212,82,1.50354609929078,38.67924528301887,25,72.5,694,32,16.7,31,1,13,84.4,1.3,58.6,41.4,171,71.3,9.4,Manhattan,40.85593830700048,-73.92702963399967
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,1224,32,38,17,1.1875,44.73684210526316,28,90.7,679,31.2,13.8,14,0.7,13.7,83.8,1,52.7,47.3,158,55.7,20.9,Manhattan,40.85593830700048,-73.92702963399967
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,1309,165,222,72,1.3454545454545455,32.432432432432435,30,76.3,1285,2.3,5.5,43,4,32.8,62.3,0.7,49.9,50.1,267,71.2,3,Manhattan,40.8183212690004,-73.95061382799963
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326,1014,88,138,73,1.5681818181818181,52.89855072463768,25,92.8,472,89.6,0,NA,0,0,99.8,0,48.9,51.1,91,81.3,8.800000000000002,Manhattan,40.8380323220004,-73.93837101799966
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,1090,63,89,24,1.4126984126984128,26.96629213483146,21,72.9,622,8.8,19.3,21,0.6,29.9,68.8,0.5,47.4,52.6,80,80,3.8,Bronx,40.8140108160004,-73.92083651699966
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,1125,2.5,NA,NA,NA,NA,18,78.3,124,2.4,6.5,0,0.8,42.7,54,0.8,31.5,68.5,56,14.3,17.9,NA,NA,NA
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,945,2.5,NA,NA,NA,NA,16,77.5,393,90.1,1.8,0,4.8,20.1,71.8,2,48.6,51.4,10,NA,NA,Bronx,40.81003619200049,-73.91781248199965
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,24,71.7,198,3,7.6,0,0.5,40.9,56.6,1,36.9,63.1,50,10,16,NA,NA,NA
07X381,BRONX HAVEN HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,64.7,153,7.8,8.5,1,0.7,35.9,62.7,0.7,37.3,62.7,11,NA,NA,NA,NA,NA
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,1077,2.5,NA,NA,NA,NA,23,82.7,319,13.2,19.7,11,0.6,32.3,65.5,0.9,49.2,50.8,81,64.2,19.8,Bronx,40.8160844810004,-73.93032383899964
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371,1097,2.5,NA,NA,NA,NA,24,78.5,363,9.6,18.5,8,1.1,22.6,76,0,50.1,49.9,69,63.8,14.5,Bronx,40.8181735360004,-73.91109266299964
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404,1201,2.5,NA,NA,NA,NA,27,90.1,465,3.7,5.2,0,2.6,18.1,78.1,1.3,43.2,56.8,NA,NA,NA,Bronx,40.8181735360004,-73.91109266299964
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411,1257,64,107,39,1.671875,36.44859813084112,21,68.3,538,5.6,11.9,11,2,24,72.7,0.7,45.2,54.8,61,83.6,1.6,Bronx,40.81495534200047,-73.91251954199964
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,1186,13,13,12,1,92.3076923076923,23,89.9,311,21.9,22.5,50,3.2,26,68.8,1,45.3,54.7,136,60.3,7.4,Bronx,40.8111388560004,-73.90978712699967
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363,1103,30,30,NA,1,NA,24,77,502,14.1,18.5,24,1.4,41.2,56,1,54,46,102,72.5,14.7,Bronx,40.8227764900004,-73.92352279399967
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361,1084,18,18,NA,1,NA,24,90.4,383,15.7,25.1,17,0.5,30.3,68.1,0.5,57.7,42.3,81,44.4,17.3,Bronx,40.8227764900004,-73.92352279399967
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,1181,2.5,NA,NA,NA,NA,26,74.3,477,5,18.7,18,0.4,26.6,70.4,0.4,84.3,15.7,82,79.3,6.1,Bronx,40.8227764900004,-73.92352279399967
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407,1201,53,92,37,1.7358490566037736,40.21739130434783,23,79.1,555,9.4,24,57,0.5,34.1,64.3,0.9,44.5,55.5,76,73.7,6.6,Bronx,40.8133593030004,-73.92553651499964
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,1158,11,11,NA,1,NA,27,76.7,738,9.1,22,87,1.4,35.9,61.5,0.7,92.7,7.3,267,40.80000000000001,18,Bronx,40.8182468890004,-73.91973567799965
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,1184,77,126,NA,1.6363636363636365,NA,24,75.7,663,17,26.1,120,1.2,32.4,64.9,0.8,79.6,20.4,357,48.5,21.6,NA,NA,NA
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,1095,61,117,29,1.9180327868852458,24.786324786324787,26,77.8,587,10.4,19.6,44,3.1,39.2,56.9,0.5,28.6,71.4,134,69.4,18.7,Bronx,40.8160844810004,-73.93032383899964
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,27,85.6,500,9.2,13.4,41,1.2,22.4,74.8,1,44,56,NA,NA,NA,Bronx,40.82062363700049,-73.89307351899964
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378,1171,21,22,NA,1.0476190476190477,NA,22,72.2,379,2.6,15.6,12,2.9,45.9,46.4,2.4,0.3,99.7,75,66.7,16,Bronx,40.81491834000047,-73.85656553499967
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389,1158,22,29,14,1.3181818181818181,48.275862068965516,26,66.4,469,4.5,21.7,9,2.6,25.4,63.8,7.7,38,62,117,65.8,13.7,Bronx,40.84051397700045,-73.83812095999963
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394,1200,2.5,NA,NA,NA,NA,22,74.6,478,11.5,24.1,51,5.6,33.1,59.4,1,60,40,121,40.5,13.2,NA,NA,NA
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,1038,2.5,NA,NA,NA,NA,20,75.8,359,15.9,27.3,16,2.5,26.2,69.9,1.4,66,34,101,56.4,17.8,Bronx,40.8223037650004,-73.85596138999966
08X312,MILLENNIUM ART ACADEMY,67,387,402,375,1164,35,55,NA,1.5714285714285714,NA,28,74.2,496,5.4,20.4,22,1.8,32.5,64.3,1,49.2,50.8,108,58.3,9.300000000000002,Bronx,40.8223037650004,-73.85596138999966
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,1084,20,28,NA,1.4,NA,20,79.6,333,12.6,18,17,0.9,39.9,56.8,0.6,49.2,50.8,89,57.3,14.6,Bronx,40.8174394460004,-73.89804920599965
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,87.3,500,2.6,22,41,2.8,35,60.2,2,62,38,NA,NA,NA,Bronx,40.81491834000047,-73.85656553499967
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,24,81.3,432,7.4,24.1,35,4.9,27.8,66,0.7,47,53,NA,NA,NA,Bronx,40.8223037650004,-73.85596138999966
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376,1112,2.5,NA,NA,NA,NA,NA,73.9,200,4.5,5,1,1,33,63.5,1,50.5,49.5,79,12.7,24.1,NA,NA,NA
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,1241,430,532,197,1.2372093023255815,37.03007518796993,27,66.8,3593,9.2,20.9,347,6.8,23,60.6,9,61.1,38.9,1092,44.6,21.2,Bronx,40.84051397700045,-73.83812095999963
08X408,HERBERT H. LEHMAN YABC,6,402,373,413,1188,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X432,BRONX BRIDGES HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,19,87.2,155,79.4,7.7,3,5.2,8.4,83.2,2.6,52.3,47.7,NA,NA,NA,Bronx,40.8223037650004,-73.85596138999966
08X452,BRONX GUILD,39,369,371,365,1105,2.5,NA,NA,NA,NA,NA,69.2,305,7.2,23,14,3.9,33.8,61.3,0.7,49.5,50.5,64,62.5,6.3,Bronx,40.8223037650004,-73.85596138999966
08X507,STEVENSON YABC,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356,1099,2.5,NA,NA,NA,NA,24,72.3,363,14,20.9,32,1.4,21.8,76,0.6,43,57,99,52.5,17.2,Bronx,40.8211707700004,-73.88113634599966
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,1131,2.5,NA,NA,NA,NA,25,81.9,451,13.5,25.7,33,0.7,32.6,65.4,1.1,49.9,50.1,108,41.7,23.1,Bronx,40.8174394460004,-73.89804920599965
08X537,BRONX ARENA HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,1134,9,9,NA,1,NA,18,83.8,191,11,28.3,26,4.7,28.8,64.9,1,57.1,42.9,89,49.4,15.7,NA,NA,NA
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,1171,2.5,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,19.9,17,NA,NA,NA
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,1112,44,69,8,1.5681818181818181,11.594202898550725,24,85.7,717,11.2,22.2,69,1.5,36.8,60.8,0.3,28.3,71.7,419,43,25.8,NA,NA,NA
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349,1049,2.5,NA,NA,NA,NA,23,83.9,355,29.3,21.1,28,1.1,27.9,69.3,0.8,50.1,49.9,96,57.3,8.300000000000002,Bronx,40.8403733980004,-73.91083800799964
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374,1134,32,44,11,1.375,25,25,60.4,550,4,24.2,33,0.7,63.1,33.8,0.5,100,0,100,63,4,Bronx,40.8451853270004,-73.89698066799963
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357,1084,9,9,NA,1,NA,21,50.2,141,19.9,27.7,20,0.7,56.7,40.4,0.7,100,0,74,41.9,24.3,NA,NA,NA
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415,1290,16,16,NA,1,NA,22,79.5,606,9.4,14.7,12,2.6,32,63.4,1.5,49.3,50.7,NA,NA,NA,Bronx,40.83932712600045,-73.90130978999963
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382,1169,90,146,11,1.6222222222222222,7.534246575342466,25,62.9,356,8.1,18.8,14,0.6,40.7,58.1,0.3,46.6,53.4,60,60,5,Bronx,40.83373855900049,-73.90244824499968
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,1092,2.5,NA,NA,NA,NA,28,58.9,354,8.8,15.5,28,1.1,24.3,73.7,0.8,45.8,54,107,77.6,1.9,Bronx,40.83932712600045,-73.90130978999963
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457,1396,62,80,35,1.2903225806451613,43.75,23,70,444,1.6,14,14,5.9,24.3,68.7,1.1,46.2,53.8,100,88,4,Bronx,40.83373855900049,-73.90244824499968
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356,1075,7,7,NA,1,NA,26,76.1,365,12.1,16.2,18,1.1,34.2,63.8,0.3,44.1,55.9,120,75,11.7,Bronx,40.83932712600045,-73.90130978999963
09X276,LEADERSHIP INSTITUTE,30,361,353,367,1081,17,17,7,1,41.17647058823529,22,94.8,230,16.5,16.1,24,1.7,33,63.5,1.3,52.2,47.8,67,53.7,20.9,Bronx,40.841270878,-73.89797867699963
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376,1148,2.5,NA,NA,NA,NA,23,79.1,450,19.1,22.4,19,0.4,26,73.1,0.4,53.8,46.2,99,67.7,15.2,Bronx,40.827602669,-73.90447525699966
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,28,79.4,493,11,16.2,21,3,32,64.5,0.2,48.5,51.5,NA,NA,NA,Bronx,40.82871418000047,-73.91775570199962
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391,1138,15,15,NA,1,NA,23,80,349,24.4,19.5,38,0,26.9,69.9,0.3,44.1,55.9,93,43,16.1,Bronx,40.8403733980004,-73.91083800799964
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297,951,20,20,20,1,100,24,85.7,336,86.6,0.9,0,0,0.6,99.4,0,48.8,51.2,NA,NA,NA,Bronx,40.8491021680004,-73.91608844099966
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339,965,2.5,NA,NA,NA,NA,16,82.3,403,87.1,1.2,1,1,22.8,72.2,3.7,45.7,54.3,88,65.9,4.5,Bronx,40.827602669,-73.90447525699966
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351,1074,2.5,NA,NA,NA,NA,24,81.4,386,20.7,26.2,35,0.3,34.5,64.5,0,52.3,47.7,108,54.6,9.300000000000002,Bronx,40.827602669,-73.90447525699966
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351,1083,26,31,9,1.1923076923076923,29.03225806451613,23,77.6,401,23.2,23.2,53,0.7,38.7,59.9,0.5,54.9,45.1,110,49.1,16.4,Bronx,40.8403733980004,-73.91083800799964
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402,1221,2.5,NA,NA,NA,NA,26,76.9,455,5.7,8.6,21,5.3,36.7,57.8,0.2,42.2,57.8,103,83.5,1,Bronx,40.8403733980004,-73.91083800799964
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379,1122,18,18,NA,1,NA,25,77.7,382,38.5,20.9,47,0.5,22.3,75.4,1.6,53.4,46.6,123,45.5,4.1,NA,NA,NA
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402,1224,45,55,27,1.2222222222222223,49.09090909090909,28,66.2,763,6.6,14,45,2,30.4,66.2,1,45.9,54.1,122,77,4.1,Bronx,40.82758936700048,-73.91866815999964
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369,1121,26,36,NA,1.3846153846153846,NA,23,79.7,532,6.4,17.7,35,1.1,56.2,41.4,0.4,51.5,48.5,87,78.2,1.1,Bronx,40.8341672500004,-73.90403294799967
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,1166,40,42,8,1.05,19.047619047619047,27,76.9,705,9.6,20.3,69,0.7,41.1,57,0,43.3,56.7,178,68.5,18.5,Bronx,40.8435811950004,-73.90322003799963
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371,1039,2.5,NA,NA,NA,NA,22,84.3,323,8.7,22.3,16,0.3,36.8,62.5,0,14.6,85.4,47,78.7,4.3,Bronx,40.827602669,-73.90447525699966
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440,1333,133,184,119,1.3834586466165413,64.67391304347827,27,39.7,1337,6.7,15.2,65,8.8,13,53,24.9,51.8,48.2,135,86.7,3.7,Bronx,40.8883728490004,-73.91409320399964
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365,1150,107,228,10,2.130841121495327,4.385964912280701,22,79.8,444,15.5,21.4,4,5.2,29.5,64.2,0.9,82.7,17.3,73,75.3,5.5,Bronx,40.8770494430004,-73.91233659899967
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394,1190,17,27,NA,1.588235294117647,NA,25,67.4,524,4.4,18.9,3,1.1,27.3,69.7,1.1,30.9,69.1,62,93.5,1.6,Bronx,40.8546465990004,-73.89664555299964
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382,1157,15,15,NA,1,NA,26,71.5,540,6.7,15.6,19,1.5,35.6,57.4,3.3,16.5,83.5,67,73.1,4.5,Bronx,40.87597544900046,-73.90123489199965
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370,1158,25,29,14,1.16,48.275862068965516,25,86.3,636,13.2,19.5,15,3.5,24.7,69.5,1.3,57.9,42.1,72,48.6,16.7,Bronx,40.8600122210004,-73.88822960399966
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,962,32,37,NA,1.15625,NA,30,95.1,497,88.7,0.4,0,6.8,5.4,84.7,3,52.3,47.7,118,56.8,11,Bronx,40.8703774670004,-73.89816295199967
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385,1182,21,27,NA,1.2857142857142858,NA,23,74.2,422,7.1,15.2,21,0.7,31.5,65.2,2.6,56.6,43.4,99,58.6,19.2,Bronx,40.8770494430004,-73.91233659899967
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,17,81.8,213,5.2,16.4,1,0,37.6,61.5,0.5,40.4,59.6,113,21.2,21.2,NA,NA,NA
